FEve,culture,n_species,expected_feve
0.8233383704144804,Abenaki,26,0.6157006060301602
0.8306853394783984,Bella Coola,35,0.5784878228884552
0.8401448604596659,Central Salish,38,0.5819071574551525
0.814892223814283,Cree,25,0.5950883714059356
0.8203696257294623,Haida,32,0.5814142296534144
0.836826392831076,Inuit-Inupiaq,47,0.5666426142686992
0.8306853394783984,Kwakiutl,35,0.5784878228884552
0.8219993016646016,Micmac,48,0.5716321713150389
0.8432790352077556,Montagnais-Naskapi,23,0.6032277084590794
0.8195959436638367,Nootkan,42,0.5735026494072044
0.8194285087989616,Tlingit,45,0.5681413358520321
0.8306853394783984,Tsimshian,35,0.5784878228884552
0.7878931865128252,Wampanoag,30,0.5809500166461941
0.8167027254109536,Yupik,36,0.5684244561139367
0.5723948740138507,global,40,0.5723948740138507
