"","mean.CA","mean.EPA","mean.DHA","mean.ZN","mean.FE"
"Abramis brama",26.8483333333333,0.09322,0.12087,0.567513333333333,0.341666666666667
"Anarhichas lupus",6.8,0.161041268666667,0.14857718,0.78,0.15
"Aphanopus carbo",12.95,0.04518815,0.131603375,0.385,0.1
"Carassius carassius",58,0.07539,0.05026,0.55,0.85
"Chamelea gallina",218.7,0.1436040256,0.129164672,1.256,7.676
"Channa striata",71,0.005620824,0.08419735175,0.7,0.3
"Chondrostoma nasus",55,0.064194,0.096291,0.5,0.95
"Cipangopaludina chinensis",1200,0.00334248,0.003676728,8.1,4.3
"Clarias batrachus",299,0.05312,0.03984,0.9,0.6
"Clarias gariepinus",832,0.07630663,0.221978699,8,3
"Coregonus clupeaformis",5.66666666666667,0.0766666666666667,0.3,0.466666666666667,0.243333333333333
"Coregonus lavaretus",33.52,0.18614769,0.178532848333333,0.608833333333333,0.363333333333333
"Crassostrea rhizophorae",13.14,0.1128395,0.0619544,11.871063,2.39
"Cyclopterus lumpus",7.9,1.60746099333333,1.66620462733333,0.61,0.46
"Cyprinidae",753.335,0.015033864,0.06626769,2.54246775,3.3475
"Cyprinus carpio",47.4833333333333,0.0742065156666667,0.056913542,0.803792,0.493333333333333
"Dentex spp",249.29,0.13979822,0.4284139,0.61166,0.71
"Esox lucius",9.6,0.049509643,0.211917484,0.8992122,0.1
"Gadus macrocephalus",11.8,0.054679898,0.144061265,0.383933333333333,0.18
"Gadus morhua",8.7,0.0510783636,0.1285802936,0.34,0.12
"Gasterochisma melampus",11,0.087873,0.32737,0.5,0.9
"Isurus oxyrinchus",12,0.0253916,0.205086,0.4,1.2
"Lamna nasus",10,0.0310271,0.288873,0.4,1.8
"Lampris guttatus",6,0.03002,0.1659,0.3,1
"Leuciscus cephalus",61.5,0.074893,0.064194,0.5,0.6
"Leuciscus idus",60,0.128231,0.06749,0.55,0.55
"Liza aurata",6.9,0.2674728785,0.065987167,0.193032,0.16
"Melanogrammus aeglefinus",7.8,0.0541584883333333,0.123677198333333,0.29,0.11
"Merluccius productus",9.8,0.069467419,0.118810272,0.35105,0.25
"Microstomus pacificus",14.5333333333333,0.08,0.09,0.388766666666667,0.213333333333333
"Nephrops norvegicus",90.6666666666667,0.0372171934285714,0.0446644527142857,1.51,2.21666666666667
"Oncorhynchus tshawytscha",26,0.44,0.55,0.44,0.3
"Tilapia spp",621.6,0.039166696,0.133166766,1.3209,0.83
"Oreochromis niloticus",883,0.0360157818571429,0.144343668428571,7,3
"Pagellus bogaraveo",57.3333333333333,0.018,0.217333333333333,0.291666666666667,0.16
"Patagonotothen ramsayi",8.635,0.09713833225,0.26354178325,0.6825,0.3265
"Perca flavescens",2.99,0.000384852,0.056503323,0.135388,0.09
"Perca fluviatilis",32.47,0.041159695,0.143209641333333,0.52003575,0.1425
"Pleuronectes platessa",28,0.174054112,0.158101627,0.48,0.19
"Pollachius virens",10,0.071883579,0.254163204,0.38,0.25
"Portunus pelagicus",113.5,0.08911596,0.07399062,2.45,0.375
"Rapana spp",628,0.000668496,0.000710277,9.45,75
"Rutilus frisii",7.59,0.22736983,0.127133452,0.106998,0.34
"Salvelinus fontinalis",7.9,0.16,0.415,0.8,0.255
"Salvelinus namaycush",3,0.14,0.3,0.5,0.2
"Sander lucioperca",55.52,0.0231288061666667,0.0483198204,0.714413666666667,0.394
"Sarda sarda",47.8158333333333,0.320979273333333,0.152118595333333,0.982083333333333,6.18416666666667
"Sardinella spp",398.52,0.004056171,0.032681149,1.56702,1.83
"Sebastes marinus",13,0.1911751816,0.313808162,0.31,0.2
"Silurus glanis",25.5,0.129915196,0.21424308,0.703333333333333,0.6
"Theragra chalcogramma",12.3666666666667,0.0491899836666667,0.106416277333333,0.3887,0.193333333333333
"Thunnus alalunga",18,0.29393,0.85918,0.5,0.6
"Tinca tinca",63,0.037115923,0.07158984,1.1,0.85
"Trachurus trachurus",272.036666666667,0.278204878166667,0.569281135166667,2.25305833333333,7.29916666666667
"Xiphias gladius",39,0.243166,1.32636,1.3,1.2
